algo,n,trial,elapsed_ms,comparisons,maxDepth
algo,n,trial,elapsed_ms,comparisons,maxDepth
mergesort,1000,1,1,8738,10
quicksort,1000,1,1,15485,24
select,1000,1,1,4351,3
closest,1000,1,2,0,0
mergesort,1000,2,0,8738,10
quicksort,1000,2,0,13946,21
select,1000,2,0,4351,3
closest,1000,2,1,0,0
mergesort,1000,3,0,8738,10
quicksort,1000,3,0,13378,20
select,1000,3,0,4351,3
closest,1000,3,0,0,0
mergesort,2000,1,0,19440,11
quicksort,2000,1,0,30308,23
select,2000,1,0,8836,4
closest,1000,1,0,0,0
mergesort,2000,2,0,19440,11
quicksort,2000,2,0,29038,23
select,2000,2,0,8836,4
closest,1000,2,0,0,0
mergesort,2000,3,0,19440,11
quicksort,2000,3,0,32747,27
select,2000,3,0,8836,4
closest,1000,3,0,0,0
mergesort,4000,1,0,42808,12
quicksort,4000,1,0,66015,28
select,4000,1,0,18315,4
closest,2000,1,2,0,0
mergesort,4000,2,0,42808,12
quicksort,4000,2,1,66316,26
select,4000,2,0,18315,4
closest,2000,2,0,0,0
mergesort,4000,3,0,42808,12
quicksort,4000,3,0,68604,28
select,4000,3,0,18315,4
closest,2000,3,0,0,0
mergesort,8000,1,0,93681,13
quicksort,8000,1,0,156055,33
select,8000,1,1,37695,5
closest,4000,1,2,0,0
mergesort,8000,2,1,93681,13
quicksort,8000,2,1,138568,28
select,8000,2,0,37695,5
closest,4000,2,5,0,0
mergesort,8000,3,0,93681,13
quicksort,8000,3,0,140360,28
select,8000,3,0,37695,5
closest,4000,3,4,0,0
mergesort,16000,1,1,203348,14
quicksort,16000,1,1,304053,32
select,16000,1,0,77090,5
closest,8000,1,8,0,0
mergesort,16000,2,1,203348,14
quicksort,16000,2,1,313775,33
select,16000,2,0,77090,5
closest,8000,2,14,0,0
mergesort,16000,3,1,203348,14
quicksort,16000,3,1,302671,31
select,16000,3,0,77090,5
closest,8000,3,10,0,0
algo,n,trial,elapsed_ms,comparisons,maxDepth
mergesort,1000,1,2,8738,10
quicksort,1000,1,0,14558,22
select,1000,1,1,4351,3
closest,1000,1,4,0,0
mergesort,1000,2,0,8738,10
quicksort,1000,2,0,13817,21
select,1000,2,0,4351,3
closest,1000,2,1,0,0
mergesort,1000,3,0,8738,10
quicksort,1000,3,0,15657,23
select,1000,3,0,4351,3
closest,1000,3,1,0,0
mergesort,2000,1,0,19440,11
quicksort,2000,1,0,31706,25
select,2000,1,0,8836,4
closest,1000,1,1,0,0
mergesort,2000,2,0,19440,11
quicksort,2000,2,0,30152,25
select,2000,2,0,8836,4
closest,1000,2,1,0,0
mergesort,2000,3,0,19440,11
quicksort,2000,3,0,30871,23
select,2000,3,0,8836,4
closest,1000,3,2,0,0
mergesort,4000,1,0,42808,12
quicksort,4000,1,1,63358,27
select,4000,1,0,18315,4
closest,2000,1,1,0,0
mergesort,4000,2,0,42808,12
quicksort,4000,2,0,66633,27
select,4000,2,0,18315,4
closest,2000,2,2,0,0
mergesort,4000,3,0,42808,12
quicksort,4000,3,1,65301,28
select,4000,3,3,18315,4
closest,2000,3,1,0,0
mergesort,8000,1,0,93681,13
quicksort,8000,1,3,141559,31
select,8000,1,0,37695,5
closest,4000,1,4,0,0
mergesort,8000,2,0,93681,13
quicksort,8000,2,0,138073,28
select,8000,2,1,37695,5
closest,4000,2,3,0,0
mergesort,8000,3,0,93681,13
quicksort,8000,3,1,148044,30
select,8000,3,1,37695,5
closest,4000,3,6,0,0
mergesort,16000,1,1,203348,14
quicksort,16000,1,1,327447,31
select,16000,1,1,77090,5
closest,8000,1,9,0,0
mergesort,16000,2,2,203348,14
quicksort,16000,2,2,312730,32
select,16000,2,1,77090,5
closest,8000,2,9,0,0
mergesort,16000,3,1,203348,14
quicksort,16000,3,1,317889,33
select,16000,3,2,77090,5
closest,8000,3,18,0,0

